Place ID,latitude,longitude,Restaurant Name,Address,City,State,Country,ZIP Code,Alcohol Availability,Smoking Area,Dress Code,Accessibility,Price Range,Ambience,Area,Other Services,Cuisine Type,Parking Availability,Payment Methods,Opening Hours,Operating Days,User ID,Rating,Food Rating,Service Rating,U latitude,U longitude,Smoking Habit,Drinking Habit,Dress Preference,Preferred Ambience,Transport Mode,Marital Status,People Under Charge,Birth Year,Interest,Personality,Religion,Activity Level,Favorite Color,Weight (kg),Budget,Height (cm),Preferred Payment Method,User Preference
135109,18.9217848,-99.2353499,Paniroles,?,San Luis Potosi,San Luis Potosi,Mexico,?,Wine/ Beer,Not Permitted,Informal,No Accessibility,Medium,Quiet,Closed,Internet,Italian,Yes,Cash,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,U1030,Dissatisfied,Dissatisfied,Dissatisfied,18.844818,-99.182758,False,Casual drinker,Formal,Family,On foot,Single,Independent,1991,Eco friendly,Hard worker,Catholic,Student,Black,64,Medium,1.75,Cash,Mexican
135109,18.9217848,-99.2353499,Paniroles,?,San Luis Potosi,San Luis Potosi,Mexico,?,Wine/ Beer,Not Permitted,Informal,No Accessibility,Medium,Quiet,Closed,Internet,Italian,Yes,Cash,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,U1020,Satisfied,Satisfied,Neutral,18.878189,-99.222969,False,Abstemious,No preference,Friends,Public,Single,Independent,1982,Technology,Hard worker,Catholic,Professional,Blue,40,Medium,1.68,Bank debit cards,Mexican
135109,18.9217848,-99.2353499,Paniroles,?,San Luis Potosi,San Luis Potosi,Mexico,?,Wine/ Beer,Not Permitted,Informal,No Accessibility,Medium,Quiet,Closed,Internet,Italian,Yes,Cash,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,U1051,Neutral,Neutral,Neutral,18.877719,-99.22299,False,Casual drinker,No preference,Family,Public,Single,Independent,1979,Variety,Thrifty protector,Atheist,Professional,Blue,74,Medium,1.76,Cash,Mexican
135109,18.9217848,-99.2353499,Paniroles,?,San Luis Potosi,San Luis Potosi,Mexico,?,Wine/ Beer,Not Permitted,Informal,No Accessibility,Medium,Quiet,Closed,Internet,Italian,Yes,Cash,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,U1041,Neutral,Satisfied,Neutral,18.935191,-99.23624,False,Abstemious,No preference,Friends,On foot,Single,Independent,1985,Eco friendly,Hunter ostentatious,Catholic,Professional,White,40,Medium,1.62,Visa,Contemporary
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1055,Satisfied,Satisfied,Satisfied,22.143289,-100.987683,False,Abstemious,No preference,Family,Car owner,Married,Dependent,1952,Technology,Hard worker,Catholic,Professional,Blue,70,Medium,1.66,Cash,Breakfast-Brunch
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1126,Satisfied,Satisfied,Satisfied,22.15421,-100.942233,False,Casual drinker,Formal,Friends,On foot,Single,Independent,1990,Technology,Hard worker,Catholic,Student,Purple,65,Low,1.63,Cash,Mexican
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1004,Satisfied,Satisfied,Satisfied,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard worker,Atheist,Professional,Green,44,Medium,1.53,Bank debit cards,Bakery
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1106,Dissatisfied,Dissatisfied,Dissatisfied,18.927072,-99.173584,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,1930,Technology,Hard worker,Catholic,Professional,Blue,65,Medium,1.71,Cash,Barbecue
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1016,Satisfied,Satisfied,Satisfied,22.156247,-100.977402,False,Casual drinker,Informal,Friends,On foot,Single,Independent,1991,Eco friendly,Thrifty protector,Catholic,Student,Green,70,Medium,1.67,Cash,Cafe-Coffee_Shop
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1101,Dissatisfied,Dissatisfied,Dissatisfied,22.150891,-100.974891,False,Casual drinker,No preference,Friends,Car owner,Single,Independent,1988,Eco friendly,Hunter ostentatious,Catholic,Student,White,50,Low,1.69,Cash,Chinese
