placeID,latitude,longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,Rambience,franchise,area,other_services,Rcuisine,parking_lot,Rpayment,hours,days
135109,18.9217848,-99.2353499,0101000020957F0000A6Bf695F136F5Ac1Dadf87B205564A41,Paniroles,?,None,None,Mexico,?,?,Wine/ Beer,Not Permitted,Informal,No Accessibility,Medium,?,Quiet,F,Closed,Internet,Italian,None,Cash,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
135106,22.1497088,-100.9760928,0101000020957F0000649D6F21634858C119Ae9Bf528A34B41,El Rinc�N De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,?,Familiar,F,Open,None,Mexican,None,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135104,23.7529821,-99.1684341,0101000020957F00007Cdf5Eafc58157C1645743B23E4F4941,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,?,Full Bar,Not Permitted,Informal,Completely,Medium,?,Familiar,T,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135088,18.8760113,-99.2198896,0101000020957F0000E14Ad4Dbc7765Ac1F7B33C85B1534A41,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Www.Cenidet.Edu.Mx,Quiet,F,Closed,None,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
135086,22.141421,-101.013955,0101000020957F0000Fa1A0E5A9B4858C17C884C4173Ae4B41,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,?,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,?,Familiar,T,Closed,None,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135085,22.150802,-100.98268,0101000020957F00009F823Da6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,?,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,?,Familiar,F,Closed,None,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135079,22.156376,-100.998355,0101000020957F00009Ff49E27C04658C1Ba8689941Ca94B41,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosi,San Luis Potosi,Mexico,?,78000,No Alcohol,None,Informal,No Accessibility,High,?,Familiar,F,Closed,None,Chinese,None,American Express,13:00-22:30;,Mon;Tue;Wed;Thu;Fri;
135075,22.139573,-100.991564,0101000020957F0000332Ae8Af824958C15A4195A82Ca84B41,Mariscos El Pescador,Himno Nacional 2104 Tangamanga,San Luis Potosi,San Luis Potosi,Mexico,?,78269,No Alcohol,None,Informal,No Accessibility,Medium,?,Familiar,F,Closed,None,Seafood,Yes,Cash,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135074,22.149689,-100.999525,0101000020957F0000Cda37Bd8Bd4758C1F4Fbe3D2D7A94B41,Restaurante La Parroquia Potosina,Venustiano Carranza 303 Centro,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine/ Beer,Section,Informal,No Accessibility,High,?,Familiar,F,Closed,None,Contemporary,Public,Mastercard-Eurocard,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135073,22.147175,-100.974269,0101000020957F0000D010A853D34858C116A1Ea51Caa24B41,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine/ Beer,Section,Informal,No Accessibility,High,?,Familiar,F,Closed,None,Bar,Yes,Mastercard-Eurocard,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;
135072,22.149192,-101.002936,0101000020957F0000E7B79B1Db94758C1D29Bc363D8Aa4B41,Sushi Itto,Venustiano Carranza 1809 C Polanco,San Luis Potosi,San Luis Potosi,Mexico,?,78220,No Alcohol,None,Informal,No Accessibility,Medium,Sushi-Itto.Com.Mx,Familiar,F,Closed,None,Japanese,None,American Express,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
