Place ID,R Latitude,R Longitude,Restaurant Name,Address,City,State,Country,ZIP Code,Alcohol Availability,Smoking Area,Dress Code,Accessibility,Price Range,Ambience,Area,Other Services,Cuisine Type,Parking Availability,Payment Methods,Opening Hours,Operating Days
135109,18.9217848,-99.2353499,Paniroles,?,None,None,Mexico,?,Wine/ Beer,Not Permitted,Informal,No Accessibility,Medium,Quiet,Closed,Internet,Italian,None,Cash,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
135106,22.1497088,-100.9760928,El Rinc�N De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,None,Mexican,None,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,None,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,None,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,None,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135079,22.156376,-100.998355,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,None,Informal,No Accessibility,High,Familiar,Closed,None,Chinese,None,American Express,13:00-22:30;,Mon;Tue;Wed;Thu;Fri;
135075,22.139573,-100.991564,Mariscos El Pescador,Himno Nacional 2104 Tangamanga,San Luis Potosi,San Luis Potosi,Mexico,78269,No Alcohol,None,Informal,No Accessibility,Medium,Familiar,Closed,None,Seafood,Yes,Cash,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135074,22.149689,-100.999525,Restaurante La Parroquia Potosina,Venustiano Carranza 303 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Section,Informal,No Accessibility,High,Familiar,Closed,None,Contemporary,Public,Mastercard-Eurocard,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135073,22.147175,-100.974269,Restaurante Bar El Gallinero,Pascual M. Hernandez 210 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Section,Informal,No Accessibility,High,Familiar,Closed,None,Bar,Yes,Mastercard-Eurocard,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;
135072,22.149192,-101.002936,Sushi Itto,Venustiano Carranza 1809 C Polanco,San Luis Potosi,San Luis Potosi,Mexico,78220,No Alcohol,None,Informal,No Accessibility,Medium,Familiar,Closed,None,Japanese,None,American Express,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
